run_id,environment_id,source_commit,classification,suite,layer,algorithm,operation,payload_profile,message_bytes,iteration,warmup_iterations,wall_ns,cpu_ns,max_rss_bytes,valid,result,work_units,item_count,public_key_bytes,private_key_bytes,signature_bytes,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,notes
local-1786750886347812000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,underlying_primitive_direct,ML-DSA-65,keygen,none,0,0,1,196333,199000,6356992,true,keypair_generated,1,0,1952,4032,0,0,0,0,0,0,"direct portable primitive call; excludes PQCManager parsing, timestamping, allocations around key records, and registries"
local-1786750886347812000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,underlying_primitive_direct,ML-DSA-65,sign,digest32,32,0,1,575625,577000,6455296,true,signature_generated,1,0,1952,4032,3309,0,0,0,0,0,direct portable primitive call; excludes PQCManager and Aegis policy/transcript work
local-1786750886347812000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,underlying_primitive_direct,ML-DSA-65,sign,digest32,32,1,1,293833,295000,6455296,true,signature_generated,1,0,1952,4032,3309,0,0,0,0,0,direct portable primitive call; excludes PQCManager and Aegis policy/transcript work
local-1786750886347812000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,underlying_primitive_direct,ML-DSA-65,verify_valid,digest32,32,0,1,184375,186000,6455296,true,accepted,1,0,1952,4032,3309,0,0,0,0,0,direct portable primitive call; excludes PQCManager and Aegis policy/transcript work
local-1786750886347812000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,underlying_primitive_direct,ML-DSA-65,verify_valid,digest32,32,1,1,188209,189000,6455296,true,accepted,1,0,1952,4032,3309,0,0,0,0,0,direct portable primitive call; excludes PQCManager and Aegis policy/transcript work
local-1786750886347812000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,underlying_primitive_direct,ML-DSA-65,sign,small64,64,0,1,1962000,1926000,6455296,true,signature_generated,1,0,1952,4032,3309,0,0,0,0,0,direct portable primitive call; excludes PQCManager and Aegis policy/transcript work
local-1786750886347812000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,underlying_primitive_direct,ML-DSA-65,sign,small64,64,1,1,308625,309000,6455296,true,signature_generated,1,0,1952,4032,3309,0,0,0,0,0,direct portable primitive call; excludes PQCManager and Aegis policy/transcript work
local-1786750886347812000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,underlying_primitive_direct,ML-DSA-65,verify_valid,small64,64,0,1,97625,98000,6455296,true,accepted,1,0,1952,4032,3309,0,0,0,0,0,direct portable primitive call; excludes PQCManager and Aegis policy/transcript work
local-1786750886347812000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,underlying_primitive_direct,ML-DSA-65,verify_valid,small64,64,1,1,103334,104000,6455296,true,accepted,1,0,1952,4032,3309,0,0,0,0,0,direct portable primitive call; excludes PQCManager and Aegis policy/transcript work
local-1786750886347812000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,underlying_primitive_direct,ML-DSA-65,sign,small128,128,0,1,187167,187000,6471680,true,signature_generated,1,0,1952,4032,3309,0,0,0,0,0,direct portable primitive call; excludes PQCManager and Aegis policy/transcript work
