classification,suite,layer,algorithm,operation,payload_profile,message_bytes,n,valid_n,valid_fraction,mean_wall_ns,median_wall_ns,stdev_wall_ns,cv_wall,min_wall_ns,p50_wall_ns,p90_wall_ns,p95_wall_ns,p99_wall_ns,max_wall_ns,median_ci95_low_ns,median_ci95_high_ns,mean_cpu_ns,total_work_units,throughput_ops_per_second,mad_outlier_count,outlier_policy,max_rss_bytes,public_key_bytes,private_key_bytes,signature_bytes_min,signature_bytes_median,signature_bytes_max,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,item_count,results
MEASURED,negative,aegis_legacy_carrier,ML-DSA-65,reject_modified_carrier,block4096,4096,1,1,1.0,65292.0,65292.0,0.0,0.0,65292.0,65292.0,65292.0,65292.0,65292.0,65292.0,65292.0,65292.0,66000.0,1,15315.812044354592,0,retained_all_samples,10452992,,,,,,,,,64537,,1,rejected
MEASURED,negative,aegis_legacy_carrier,ML-DSA-65,reject_modified_carrier,digest32,32,1,1,1.0,70417.0,70417.0,0.0,0.0,70417.0,70417.0,70417.0,70417.0,70417.0,70417.0,70417.0,70417.0,71000.0,1,14201.116207733929,0,retained_all_samples,9682944,,,,,,,,,45340,,1,rejected
MEASURED,negative,aegis_legacy_carrier,ML-DSA-65,reject_modified_carrier,kilobyte1024,1024,1,1,1.0,49875.0,49875.0,0.0,0.0,49875.0,49875.0,49875.0,49875.0,49875.0,49875.0,49875.0,49875.0,50000.0,1,20050.12531328321,0,retained_all_samples,10207232,,,,,,,,,50327,,1,rejected
MEASURED,negative,aegis_legacy_carrier,ML-DSA-65,reject_modified_carrier,large16384,16384,1,1,1.0,87250.0,87250.0,0.0,0.0,87250.0,87250.0,87250.0,87250.0,87250.0,87250.0,87250.0,87250.0,88000.0,1,11461.31805157593,0,retained_all_samples,11206656,,,,,,,,,123342,,1,rejected
MEASURED,negative,aegis_legacy_carrier,ML-DSA-65,reject_modified_carrier,medium256,256,1,1,1.0,49708.0,49708.0,0.0,0.0,49708.0,49708.0,49708.0,49708.0,49708.0,49708.0,49708.0,49708.0,51000.0,1,20117.48611893458,0,retained_all_samples,9961472,,,,,,,,,46447,,1,rejected
MEASURED,negative,aegis_legacy_carrier,ML-DSA-65,reject_modified_carrier,small128,128,1,1,1.0,63584.0,63584.0,0.0,0.0,63584.0,63584.0,63584.0,63584.0,63584.0,63584.0,63584.0,63584.0,64000.0,1,15727.226975339709,0,retained_all_samples,9797632,,,,,,,,,45831,,1,rejected
MEASURED,negative,aegis_legacy_carrier,ML-DSA-65,reject_modified_carrier,small64,64,1,1,1.0,61125.0,61125.0,0.0,0.0,61125.0,61125.0,61125.0,61125.0,61125.0,61125.0,61125.0,61125.0,61000.0,1,16359.918200408998,0,retained_all_samples,9715712,,,,,,,,,45623,,1,rejected
MEASURED,negative,aegis_legacy_carrier,ML-DSA-65,reject_modified_carrier,transaction512,512,1,1,1.0,48417.0,48417.0,0.0,0.0,48417.0,48417.0,48417.0,48417.0,48417.0,48417.0,48417.0,48417.0,49000.0,1,20653.902554887747,0,retained_all_samples,10043392,,,,,,,,,47676,,1,rejected
MEASURED,negative,aegis_legacy_carrier,ML-DSA-65,reject_modified_carrier,vote192,192,1,1,1.0,57291.0,57291.0,0.0,0.0,57291.0,57291.0,57291.0,57291.0,57291.0,57291.0,57291.0,57291.0,58000.0,1,17454.74856434693,0,retained_all_samples,9863168,,,,,,,,,46272,,1,rejected
MEASURED,negative,aegis_submission_envelope,ML-DSA-65,reject_malformed_public_key,block4096,4096,1,1,1.0,24583.0,24583.0,0.0,0.0,24583.0,24583.0,24583.0,24583.0,24583.0,24583.0,24583.0,24583.0,24000.0,1,40678.51767481593,0,retained_all_samples,10420224,1951,,3309,3309,3309,,,,,,1,rejected
