classification,workers,offered_concurrency,independent_runs,samples_per_run,median_of_run_medians_ops_per_second,min_run_median_ops_per_second,max_run_median_ops_per_second,run_median_cv,throughput_tps,notes
DERIVED,1,1,3,100;100;100,5633.788193814462,4960.740593347618,7022.672922150202,0.17905316159489618,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,1,2,3,100;100;100,7271.616698540586,7128.5396061517595,7377.244821352931,0.017195114034850852,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,1,4,3,100;100;100,7471.978152584325,7148.180024292279,7558.182594717278,0.029240780687788792,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,1,8,3,100;100;100,7593.00767343188,7592.535398782875,7645.289167028621,0.003984347244684236,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,1,16,3,100;100;100,6635.747516265426,6520.214115736522,6714.166598297925,0.014730597798045385,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,1,64,3,100;100;100,3961.5302071111414,3896.558631693773,3964.8596724211966,0.009771291134375177,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,1,65,3,100;100;100,3947.618538790829,3793.7284327266925,3950.582241678906,0.023020053908295396,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,1,128,3,100;100;100,3730.955220108719,3641.5331826810543,3732.597626484847,0.014076909554403551,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,2,1,3,100;100;100,6533.279006535495,6238.633988762536,6548.428380872145,0.02711923572645354,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,2,2,3,100;100;100,10809.583916229974,10283.88963302561,10832.748599625205,0.029168464904090724,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,2,4,3,100;100;100,11619.479645231833,11238.59861267053,11690.216716457671,0.021093123078916688,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,2,8,3,100;100;100,11886.784209253154,11183.029264298617,11971.758216295395,0.03706450367014664,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,2,16,3,100;100;100,6883.223698003465,6828.28362031116,7026.146268694266,0.014775952706096093,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,2,64,3,100;100;100,4092.9166279151495,4011.397091484832,4113.870722112585,0.01329273994983048,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,2,65,3,100;100;100,4085.6360648698915,4001.9927814003904,4116.735807962417,0.014587254981215702,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,2,128,3,100;100;100,3860.9561627007834,3747.8040928826476,3880.764456908004,0.01873016261304988,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,4,1,3,100;100;100,6450.769175267815,5830.192032742496,6505.838224905224,0.05991427243460205,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,4,2,3,100;100;100,10823.00917991384,9914.274946413247,11012.974607890043,0.055485730124829366,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,4,4,3,100;100;100,14171.858497162431,13724.11810584987,14571.975874005991,0.029962716171503395,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,4,8,3,100;100;100,10815.685725073821,10596.321950554786,10918.20178015047,0.015258490511912318,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,4,16,3,100;100;100,6521.274146270378,6311.665467918837,6532.930390108129,0.01928944513488219,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,4,64,3,100;100;100,3930.4494947320372,3870.5872881039454,3958.7327495115255,0.011481256967756192,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,4,65,3,100;100;100,3917.850866106406,3705.3724141663756,3959.858256512118,0.03533450606601166,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
DERIVED,4,128,3,100;100;100,3563.71147277428,3477.0206948212526,3720.5543865107657,0.03441206309195251,,"run-level variation of controlled crypto-pool throughput; saturation is backpressure, not committed TPS"
