run_id,environment_id,source_commit,classification,suite,layer,algorithm,operation,payload_profile,message_bytes,iteration,warmup_iterations,wall_ns,cpu_ns,max_rss_bytes,valid,result,work_units,item_count,public_key_bytes,private_key_bytes,signature_bytes,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,notes
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,digest32,32,0,1,544125,547000,48660480,true,domain_signature_generated,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,digest32,32,0,1,150500,155000,48709632,true,accepted_cache_miss,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1; policy checks + transcript hash + bounded worker + primitive
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_hit,digest32,32,0,1,11667,11000,48709632,true,accepted_cache_hit,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1; policy checks + transcript hash + positive cache
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_domain_wrapper_block,ML-DSA-65,verify_tampered_signature,digest32,32,0,0,135042,138000,48726016,true,rejected,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,small64,64,0,1,147208,148000,48742400,true,domain_signature_generated,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,small64,64,0,1,130042,127000,48742400,true,accepted_cache_miss,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1; policy checks + transcript hash + bounded worker + primitive
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_hit,small64,64,0,1,17541,18000,48742400,true,accepted_cache_hit,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1; policy checks + transcript hash + positive cache
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_domain_wrapper_block,ML-DSA-65,verify_tampered_signature,small64,64,0,0,121750,126000,48742400,true,rejected,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,small128,128,0,1,1281875,1260000,48742400,true,domain_signature_generated,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1
local-1786750141063597000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_miss,small128,128,0,1,125416,132000,48742400,true,accepted_cache_miss,1,0,0,0,3309,0,0,0,0,0,domain=SYNERGY_BLOCK_V1; policy checks + transcript hash + bounded worker + primitive
