run_id,environment_id,source_commit,classification,sample_recorded_unix_ns,suite,layer,algorithm,operation,payload_profile,message_bytes,iteration,warmup_iterations,wall_ns,cpu_ns,max_rss_bytes,valid,result,work_units,item_count,public_key_bytes,private_key_bytes,signature_bytes,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,notes
local-1786752837727815000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752837729587000,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency1,512,0,0,232042,242000,7307264,true,accepted=1;saturated=0;unexpected=0,1,1,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786752837727815000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752837730075000,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency1,512,1,0,210875,228000,7520256,true,accepted=1;saturated=0;unexpected=0,1,1,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786752837727815000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752837731372000,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency1,512,2,0,209084,221000,7618560,true,accepted=1;saturated=0;unexpected=0,1,1,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786752837727815000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752837732023000,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency1,512,3,0,318833,331000,7782400,true,accepted=1;saturated=0;unexpected=0,1,1,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786752837727815000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752837732448000,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency1,512,4,0,257666,263000,7798784,true,accepted=1;saturated=0;unexpected=0,1,1,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786752837727815000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752837733065000,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency1,512,5,0,317000,308000,7831552,true,accepted=1;saturated=0;unexpected=0,1,1,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786752837727815000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752837734150000,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency1,512,6,0,194333,209000,7831552,true,accepted=1;saturated=0;unexpected=0,1,1,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786752837727815000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752837734584000,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency1,512,7,0,163333,175000,7864320,true,accepted=1;saturated=0;unexpected=0,1,1,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786752837727815000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752837735154000,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency1,512,8,0,158667,165000,7864320,true,accepted=1;saturated=0;unexpected=0,1,1,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786752837727815000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers4,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,1786752837735673000,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency1,512,9,0,181167,192000,7913472,true,accepted=1;saturated=0;unexpected=0,1,1,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
