classification,environment_id,source_commit,suite,layer,algorithm,operation,payload_profile,message_bytes,n,valid_n,valid_fraction,mean_wall_ns,median_wall_ns,stdev_wall_ns,cv_wall,min_wall_ns,p50_wall_ns,p90_wall_ns,p95_wall_ns,p99_wall_ns,max_wall_ns,median_ci95_low_ns,median_ci95_high_ns,mean_cpu_ns,experiment,environment,workload,sample_count,mean_us,median_us,stddev_us,p90_us,p95_us,p99_us,total_work_units,throughput_ops_per_second,ops_per_sec,cpu_percent,mad_outlier_count,outlier_policy,max_rss_bytes,memory_mb,network_bytes,throughput_tps,result_type,public_key_bytes,private_key_bytes,signature_bytes_min,signature_bytes_median,signature_bytes_max,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,item_count,results
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers1_concurrency1,512,100,100,1.0,232115.01,201583.5,87210.79468555925,0.37572233991054366,147792.0,201583.5,320733.30000000005,391916.99999999994,481853.66000000114,698333.0,182917.0,232261.9749999996,233640.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,workers1_concurrency1,100,232.11501,201.5835,87.21079468555925,320.73330000000004,391.9169999999999,481.8536600000011,100,4308.20910720078,4308.20910720078,100.65699758063901,4,retained_all_samples,7831552,7.831552,,,MEASURED,,,3309,3309.0,3309,,,,,,1,accepted=1;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers1_concurrency128,512,100,100,1.0,17991834.21,17849625.0,1549122.0868568048,0.08610139848864273,17019417.0,17849625.0,18463516.1,18539510.4,18949838.67000007,32591709.0,17705922.2625,18031375.0,30822320.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,workers1_concurrency128,100,17991.83421,17849.625,1549.1220868568048,18463.5161,18539.5104,18949.83867000007,6500,3612.750053236512,3612.750053236512,171.312828032112,1,retained_all_samples,13631488,13.631488,,,MEASURED,,,3309,3309.0,3309,,,,,,128,accepted=65;saturated=63;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers1_concurrency16,512,100,100,1.0,2454717.06,2383021.0,424051.09230255056,0.17274947863137863,1958791.0,2383021.0,3071466.1000000006,3248425.65,3353173.6700000004,3452834.0,2254875.0,2522916.5,4653560.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,workers1_concurrency16,100,2454.71706,2383.021,424.05109230255056,3071.4661000000006,3248.42565,3353.1736700000006,1600,6518.062819019965,6518.062819019965,189.57622757549092,0,retained_all_samples,9109504,9.109504,,,MEASURED,,,3309,3309.0,3309,,,,,,16,accepted=16;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers1_concurrency2,512,100,100,1.0,291502.11,280562.5,42885.803508192934,0.14712004488815855,249209.0,280562.5,324066.4,355649.99999999994,449785.00000000064,577000.0,276916.0,285166.5,334910.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,workers1_concurrency2,100,291.50210999999996,280.5625,42.885803508192936,324.06640000000004,355.6499999999999,449.78500000000065,200,6861.013801924109,6861.013801924109,114.89110662012018,7,retained_all_samples,7962624,7.962624,,,MEASURED,,,3309,3309.0,3309,,,,,,2,accepted=2;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers1_concurrency4,512,100,100,1.0,564557.06,559583.0,32755.629441016266,0.05802005104854461,507916.0,559583.0,596612.5000000001,620028.85,661948.3300000004,743458.0,551667.0,567715.2749999999,767230.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,workers1_concurrency4,100,564.5570600000001,559.583,32.75562944101627,596.6125000000001,620.0288499999999,661.9483300000004,400,7085.200564137839,7085.200564137839,135.89946072058686,2,retained_all_samples,8142848,8.142848,,,MEASURED,,,3309,3309.0,3309,,,,,,4,accepted=4;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers1_concurrency64,512,100,100,1.0,16218314.13,16424750.0,967158.2433782791,0.05963371011474416,12804959.0,16424750.0,16976553.5,17094185.1,17275129.080000002,17358000.0,16315166.5,16543009.8875,26083780.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,workers1_concurrency64,100,16218.31413,16424.75,967.1582433782792,16976.5535,17094.185100000002,17275.129080000002,6400,3946.1561471186033,3946.1561471186033,160.829169979827,10,retained_all_samples,11354112,11.354112,,,MEASURED,,,3309,3309.0,3309,,,,,,64,accepted=64;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers1_concurrency65,512,100,100,1.0,17108349.96,17133541.5,446169.21737331175,0.026079032660453697,15772584.0,17133541.5,17590791.7,17766696.15,17971498.16,18321875.0,17029042.0,17286250.0,27098350.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,workers1_concurrency65,100,17108.34996,17133.5415,446.16921737331177,17590.791699999998,17766.69615,17971.49816,6500,3799.314378766659,3799.314378766659,158.39253968592539,0,retained_all_samples,11567104,11.567104,,,MEASURED,,,3309,3309.0,3309,,,,,,65,accepted=65;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers1_concurrency8,512,100,100,1.0,1051560.43,1053666.5,36570.4447495087,0.03477731160871915,950375.0,1053666.5,1090366.7,1102956.25,1144115.66,1147250.0,1047375.0,1061416.0,1692300.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,workers1_concurrency8,100,1051.56043,1053.6665,36.5704447495087,1090.3667,1102.95625,1144.11566,800,7607.741573159044,7607.741573159044,160.93226330321312,0,retained_all_samples,8437760,8.43776,,,MEASURED,,,3309,3309.0,3309,,,,,,8,accepted=8;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers2_concurrency1,512,100,100,1.0,169295.45,160291.5,30966.13585361508,0.18291180214007569,145667.0,160291.5,194170.80000000002,215089.24999999997,318800.0000000002,348500.0,158125.0,164521.0,174880.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,workers2_concurrency1,100,169.29545000000002,160.2915,30.96613585361508,194.1708,215.08924999999996,318.8000000000002,100,5906.8332905580155,5906.8332905580155,103.29870058527857,8,retained_all_samples,7913472,7.913472,,,MEASURED,,,3309,3309.0,3309,,,,,,1,accepted=1;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers2_concurrency128,512,100,100,1.0,18007302.45,17534292.0,3883039.874687162,0.21563695536680244,16621416.0,17534292.0,18519408.6,18869931.25,21085785.08000018,55780541.0,17377553.6625,17672896.0,30038830.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,workers2_concurrency128,100,18007.30245,17534.292,3883.0398746871624,18519.408600000002,18869.93125,21085.78508000018,6559,3642.4111930213066,3642.4111930213066,166.81471354972436,3,retained_all_samples,13778944,13.778944,,,MEASURED,,,3309,3309.0,3309,,,,,,128,accepted=64;saturated=64;unexpected=0;accepted=65;saturated=63;unexpected=0;accepted=66;saturated=62;unexpected=0;accepted=67;saturated=61;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers2_concurrency16,512,100,100,1.0,2719382.56,2343208.5,2802448.687169787,1.0305459512727724,1598750.0,2343208.5,3225300.0,3318667.3,4643241.250000131,29974000.0,2216333.0,2490187.5,4677320.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,workers2_concurrency16,100,2719.38256,2343.2085,2802.448687169787,3225.3,3318.6672999999996,4643.241250000131,1600,5883.688538474705,5883.688538474705,171.99933796736565,2,retained_all_samples,9175040,9.17504,,,MEASURED,,,3309,3309.0,3309,,,,,,16,accepted=16;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers2_concurrency2,512,100,100,1.0,198178.77,194479.0,20822.97993687782,0.10507169833013809,168667.0,194479.0,223233.0,233264.55,279233.0,281708.0,190188.0,198583.0,346610.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,workers2_concurrency2,100,198.17877,194.479,20.822979936877818,223.233,233.26454999999999,279.233,200,10091.898340069423,10091.898340069423,174.89764418257315,3,retained_all_samples,8011776,8.011776,,,MEASURED,,,3309,3309.0,3309,,,,,,2,accepted=2;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers2_concurrency4,512,100,100,1.0,361315.32,355916.5,32952.38661545081,0.09120118852267545,313667.0,355916.5,401300.0,410389.25,440001.16000000056,547333.0,349519.4375,363041.0,766870.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,workers2_concurrency4,100,361.31532,355.9165,32.952386615450806,401.3,410.38925,440.00116000000054,400,11070.66260019088,11070.66260019088,212.24397570520952,1,retained_all_samples,8159232,8.159232,,,MEASURED,,,3309,3309.0,3309,,,,,,4,accepted=4;saturated=0;unexpected=0
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers2_concurrency64,512,100,100,1.0,15987884.65,15954541.5,932097.6047198232,0.05830024578766417,12788709.0,15954541.5,17167808.6,17342214.6,17577074.580000002,18166083.0,15845292.0,16163083.0,25483180.0,load,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,workers2_concurrency64,100,15987.88465,15954.5415,932.0976047198233,17167.8086,17342.214600000003,17577.07458,6400,4003.031132702099,4003.031132702099,159.39056703164292,6,retained_all_samples,11386880,11.38688,,,MEASURED,,,3309,3309.0,3309,,,,,,64,accepted=64;saturated=0;unexpected=0
