run_id,environment_id,source_commit,classification,suite,layer,algorithm,operation,payload_profile,message_bytes,iteration,warmup_iterations,wall_ns,cpu_ns,max_rss_bytes,valid,result,work_units,item_count,public_key_bytes,private_key_bytes,signature_bytes,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,notes
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,digest32,32,0,1,530250,532000,6881280,true,signed_serialized_admission_valid,1,1,2592,4896,4627,0,0,350,26087,25737,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,digest32,32,0,1,506708,508000,6979584,true,accepted,1,1,2592,0,4627,0,0,350,26007,25657,
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,small64,64,0,1,962250,922000,7028736,true,signed_serialized_admission_valid,1,1,2592,4896,4627,0,0,382,26119,25737,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,small64,64,0,1,510833,513000,7045120,true,accepted,1,1,2592,0,4627,0,0,382,26062,25680,
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,small128,128,0,1,1121250,1123000,7045120,true,signed_serialized_admission_valid,1,1,2592,4896,4627,0,0,446,26181,25735,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,small128,128,0,1,256625,258000,7061504,true,accepted,1,1,2592,0,4627,0,0,446,26186,25740,
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,vote192,192,0,1,678291,674000,7077888,true,signed_serialized_admission_valid,1,1,2592,4896,4627,0,0,510,26180,25670,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,vote192,192,0,1,335958,307000,7094272,true,accepted,1,1,2592,0,4627,0,0,510,26283,25773,
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,medium256,256,0,1,771583,744000,7127040,true,signed_serialized_admission_valid,1,1,2592,4896,4627,0,0,574,26384,25810,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,medium256,256,0,1,364875,366000,7143424,true,accepted,1,1,2592,0,4627,0,0,574,26348,25774,
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,transaction512,512,0,1,895208,882000,7159808,true,signed_serialized_admission_valid,1,1,2592,4896,4627,0,0,830,26474,25644,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,transaction512,512,0,1,492708,494000,7159808,true,accepted,1,1,2592,0,4627,0,0,830,26569,25739,
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,kilobyte1024,1024,0,1,1326292,1327000,7159808,true,signed_serialized_admission_valid,1,1,2592,4896,4627,0,0,1342,27095,25753,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,kilobyte1024,1024,0,1,348000,348000,7176192,true,accepted,1,1,2592,0,4627,0,0,1342,27090,25748,
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,block4096,4096,0,1,717375,714000,7241728,true,signed_serialized_admission_valid,1,1,2592,4896,4627,0,0,4414,30098,25684,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,block4096,4096,0,1,313000,315000,7258112,true,accepted,1,1,2592,0,4627,0,0,4414,30158,25744,
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,large16384,16384,0,1,699625,701000,7438336,true,signed_serialized_admission_valid,1,1,2592,4896,4627,0,0,16702,42400,25698,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,large16384,16384,0,1,493000,494000,7471104,true,accepted,1,1,2592,0,4627,0,0,16702,42399,25697,
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_typed_transaction,ML-DSA-65,build_sign_verify_admit_carrier,digest32,32,0,1,4537000,4616000,8421376,true,signed_verified_admitted_carrier_built,1,1,1952,0,3309,0,0,605,65378,19195,envelope_json_bytes=19800; carrier_json_bytes=45578; authentication_bytes compares the submitted envelope with the canonical unsigned signing payload and does not include the duplicated legacy carrier
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_typed_transaction,ML-DSA-65,verify_submission_envelope,digest32,32,0,1,210958,214000,8486912,true,accepted,1,1,1952,0,3309,0,0,605,19746,19141,constructs a fresh Aegis verifier for the envelope public key and lifecycle witness
local-1786749766052477000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_legacy_carrier,ML-DSA-65,validate_carrier,digest32,32,0,1,399542,403000,8552448,true,accepted,1,1,1952,0,3309,0,0,0,45452,0,
