run_id,environment_id,source_commit,classification,suite,layer,algorithm,operation,payload_profile,message_bytes,iteration,warmup_iterations,wall_ns,cpu_ns,max_rss_bytes,valid,result,work_units,item_count,public_key_bytes,private_key_bytes,signature_bytes,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,notes
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,lifecycle,aegis_key_registry,ML-DSA-65,public_key_lookup,registry1,0,0,1,875,4000,7028736,true,found,1,0,1952,0,0,0,0,0,0,0,
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,lifecycle,aegis_key_registry,ML-DSA-65,role_authorization_check,registry1,0,0,1,292,1000,7061504,true,authorized,1,0,0,0,0,0,0,0,0,0,
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,lifecycle,aegis_key_registry,ML-DSA-65,active_key_check,registry1,0,0,1,167,0,7061504,true,active,1,0,0,0,0,0,0,0,0,0,
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,lifecycle,aegis_key_registry,ML-DSA-65,revocation_check,registry1,0,0,1,250,1000,7077888,true,not_revoked,1,0,0,0,0,0,0,0,0,0,
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,lifecycle,aegis_key_lifecycle,ML-DSA-65,lifecycle_root,registry1,0,0,1,1959,2000,7258112,true,root_computed,1,0,0,0,0,0,0,0,1,0,serialized_bytes column stores lifecycle record count for this scaling operation
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,lifecycle,aegis_key_lifecycle,ML-DSA-65,lifecycle_root,registry10,0,0,1,9166,10000,7471104,true,root_computed,1,0,0,0,0,0,0,0,10,0,serialized_bytes column stores lifecycle record count for this scaling operation
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,lifecycle,aegis_key_lifecycle,ML-DSA-65,lifecycle_root,registry100,0,0,1,115583,98000,9093120,true,root_computed,1,0,0,0,0,0,0,0,100,0,serialized_bytes column stores lifecycle record count for this scaling operation
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,lifecycle,aegis_key_lifecycle,ML-DSA-65,lifecycle_root,registry1000,0,0,1,517875,483000,21938176,true,root_computed,1,0,0,0,0,0,0,0,1000,0,serialized_bytes column stores lifecycle record count for this scaling operation
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,lifecycle,aegis_key_lifecycle,ML-DSA-65,lifecycle_root,registry10000,0,0,1,3946417,3950000,149962752,true,root_computed,1,0,0,0,0,0,0,0,10000,0,serialized_bytes column stores lifecycle record count for this scaling operation
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,lifecycle,aegis_key_registry,ML-DSA-65,register_public_key,growing_registry,0,0,0,3167,6000,150044672,true,registered,1,0,1952,0,0,0,0,0,0,0,
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,lifecycle,aegis_key_registry,ML-DSA-65,rotate_generate_register_revoke,growing_registry,0,0,0,100833,101000,150061056,true,new_key_registered_old_key_revoked,1,0,0,0,0,0,0,0,0,0,"includes ML-DSA-65 keygen, lifecycle sort, and revocation mutation"
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_lifecycle_policy,ML-DSA-65,wrong_role,policy256,256,0,0,833,1000,150093824,true,rejected,1,0,0,0,3309,0,0,0,0,0,
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_lifecycle_policy,ML-DSA-65,wrong_public_key,policy256,256,0,0,153417,178000,150274048,true,rejected,1,0,0,0,3309,0,0,0,0,0,
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_lifecycle_policy,ML-DSA-65,missing_key,policy256,256,0,0,625,1000,150274048,true,rejected,1,0,0,0,3309,0,0,0,0,0,
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_lifecycle_policy,ML-DSA-65,not_yet_active,policy256,256,0,0,291,0,150274048,true,rejected,1,0,0,0,3309,0,0,0,0,0,
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_lifecycle_policy,ML-DSA-65,revoked,policy256,256,0,0,292,0,150290432,true,rejected,1,0,0,0,3309,0,0,0,0,0,
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_lifecycle_policy,ML-DSA-65,expired,policy256,256,0,0,209,1000,150290432,true,rejected,1,0,0,0,3309,0,0,0,0,0,
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_lifecycle_policy,ML-DSA-65,wrong_domain,policy256,256,0,0,90204708,70915000,184729600,true,rejected,1,0,0,0,3309,0,0,0,0,0,
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_lifecycle_policy,ML-DSA-65,missing_signature,policy256,256,0,0,209,0,184729600,true,rejected,1,0,0,0,0,0,0,0,0,0,
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_lifecycle_policy,ML-DSA-65,unknown_algorithm,policy256,256,0,0,750,2000,184729600,true,rejected,1,0,0,0,3309,0,0,0,0,0,
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_lifecycle_policy,ML-DSA-65,invalid_algorithm_identifier,policy256,256,0,0,583,2000,184729600,true,rejected,1,0,0,0,3309,0,0,0,0,0,
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_lifecycle_policy,ML-DSA-65,malformed_signature,policy256,256,0,0,26375,26000,184729600,true,rejected,1,0,0,0,3308,0,0,0,0,0,
local-1786751769755764000,diagnostic-local,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,aegis_lifecycle_policy,ML-DSA-65,malformed_key,policy256,256,0,0,20500,25000,184729600,true,rejected,1,0,0,0,3309,0,0,0,0,0,
