classification,transactions_per_block,frame_bytes_median,frame_bytes_min,frame_bytes_max,authentication_delta_bytes_median,authentication_percent,frame_guard_result,n,source_commit
MEASURED,1,89445.0,89236,89524,77829.5,87.0138073676561,accepted_within_8mib_limit,10,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,10,410001.0,409885,410113,353763.0,86.28344808915101,accepted_within_8mib_limit,10,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,100,3614611.0,3614492,3614808,3112967.5,86.1217846125074,accepted_within_8mib_limit,10,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,200,7176949.0,7176816,7177080,6179914.0,86.10781545194205,accepted_within_8mib_limit,10,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,225,8068146.0,8068080,8068274,6947281.5,86.10753325485186,accepted_within_8mib_limit,10,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,230,8246536.0,8246419,8246678,7100866.5,86.10726370442087,accepted_within_8mib_limit,10,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,231,8282218.5,8282088,8282265,7131546.5,86.1067176626649,accepted_within_8mib_limit,10,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,232,8317930.5,8317707,8318050,7162328.5,86.1070971920239,accepted_within_8mib_limit,10,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,233,8353615.5,8353512,8353733,7193027.5,86.10675820547402,accepted_within_8mib_limit,10,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,234,8389231.0,8388982,8389482,7223683.0,86.1066169235297,rejected_above_8mib_limit,10,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,235,8424838.5,8424740,8424948,7254306.5,86.10617877126072,rejected_above_8mib_limit,10,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,250,8959085.0,8959035,8959133,7714245.5,86.10528307299239,rejected_above_8mib_limit,10,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,500,17865441.5,17865308,17865569,15381837.0,86.0982752651257,rejected_above_8mib_limit,10,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,1000,35675019.5,35674751,35675158,30713947.5,86.09370907281495,rejected_above_8mib_limit,10,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
