classification,run_directory,environment_id,source_commit,workers,offered_concurrency,n,median_burst_wall_ms,p95_burst_wall_ms,p99_burst_wall_ms,median_accepted_verifications,median_saturated_verifications,median_verification_ops_per_second,p95_verification_ops_per_second,saturation_fraction,unexpected_error_fraction,throughput_tps,notes
MEASURED,publication-m2-20260815-v1,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,1,100,0.142396,0.17332464999999997,0.21027982000000003,1.0,0.0,7022.672922150202,7494.338386430261,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-m2-20260815-v1,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,2,100,0.271104,0.29983365,0.35262316000000005,2.0,0.0,7377.244821352931,7655.502392344498,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-m2-20260815-v1,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,4,100,0.529229,0.57211075,0.6021883400000005,4.0,0.0,7558.182594717278,7911.752101435265,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-m2-20260815-v1,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,8,100,1.0536045,1.1386465,1.15629792,8.0,0.0,7593.00767343188,7899.335403377872,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-m2-20260815-v1,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,16,100,2.4539165,3.10714825,3.25138184,16.0,0.0,6520.214115736522,8069.450248661043,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-m2-20260815-v1,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,64,100,16.1553745,16.5120131,16.60036767,64.0,0.0,3961.5302071111414,4704.1043384947725,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-m2-20260815-v1,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,65,100,16.465625,16.818158299999997,17.052017499999998,65.0,0.0,3947.618538790829,3988.3693380427026,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-m2-20260815-v1,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers1,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,1,128,100,17.4218125,17.802033650000002,17.954585920000007,65.0,63.0,3730.955220108719,3797.548132013689,0.4921875,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-m2-20260815-v1,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,2,1,100,0.1530625,0.17315354999999996,0.30315958000000026,1.0,0.0,6533.279006535495,6795.003905443397,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
MEASURED,publication-m2-20260815-v1,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814-workers2,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,2,2,100,0.185021,0.2004542,0.22451166000000014,2.0,0.0,10809.583916229974,12353.441193773479,0.0,0.0,,controlled local unique-signature verification bursts; not transaction or chain throughput
