classification,algorithm,operation,workload,n,mean_us,median_us,p95_us,p99_us,ops_per_second,source_commit
MEASURED,FN-DSA-1024,keygen,none,30,26627.194466666664,24530.8545,39729.381249999984,48688.517320000006,37.55559006608274,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,FN-DSA-1024,sign,transaction512,500,6241.727838000001,6055.854,6193.5976,12004.02184,160.21204800246852,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,FN-DSA-1024,verify_valid,transaction512,500,53.158598,51.792,61.852749999999986,69.26541999999998,18811.632315810886,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,HQC-256,decapsulate,kem,50,7982.099200000001,7882.1875,8491.220949999999,9053.97284,125.2803272602776,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,HQC-256,encapsulate,kem,50,5426.9842,5258.1455,6266.4542,6564.34041,184.2644023175892,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,HQC-256,keygen,none,30,2549.3681,2534.854,2641.35435,2648.25825,392.25406484061676,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,ML-DSA-65,keygen,none,30,105.34993333333334,99.4585,120.30815,142.73532000000003,9492.174967362738,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,ML-DSA-65,sign,transaction512,500,359.44716,277.2295,867.7312499999994,1314.93482,2782.050079349632,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,ML-DSA-65,verify_valid,transaction512,500,95.835122,93.875,110.5902,132.37132999999997,10434.587853918525,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,ML-DSA-87,keygen,none,30,159.54160000000002,152.5,180.30624999999995,231.55500000000006,6267.957698807082,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,ML-DSA-87,sign,transaction512,500,434.5096,360.437,890.6586499999987,1430.712419999999,2301.445123421899,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,ML-DSA-87,verify_valid,transaction512,500,157.542598,154.917,175.59135,187.13773999999995,6347.489585007352,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,ML-KEM-1024,decapsulate,kem,500,14.599366,14.417,15.586049999999997,20.586759999999995,68496.12510570664,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,ML-KEM-1024,encapsulate,kem,500,12.016584,11.459,15.185749999999983,17.76165999999999,83218.32560734398,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,ML-KEM-1024,keygen,none,30,10.927666666666665,10.75,11.2311,13.616430000000005,91510.84403501815,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,SLH-DSA-SHAKE-128f-simple,keygen,none,30,1023.8708333333334,1012.8955,1084.19565,1106.02425,976.6856984727077,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,SLH-DSA-SHAKE-128f-simple,sign,transaction512,30,24164.202766666665,24058.563,24606.94215,25182.736109999998,41.38352958118076,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
MEASURED,SLH-DSA-SHAKE-128f-simple,verify_valid,transaction512,30,1462.054,1458.9375,1563.3578499999999,1603.0128200000001,683.969265157101,9d3ab807a08ef4cf1077dbc23213e2314ce37c87
