classification,validator_count,validator_count_context,transactions_per_block,measured_frame_samples_per_kind,network_transmissions_per_successful_block,consensus_signatures_created_per_block,consensus_aegis_verify_calls,transaction_aegis_verify_calls,total_aegis_verify_calls,modeled_primitive_cache_misses,modeled_positive_cache_hits,aggregate_exact_frame_bytes,aggregate_authentication_delta_bytes,modeled_aegis_verify_wall_ms,block_latency_ms,finality_latency_ms,cpu_percent,formulas,notes
DERIVED,4,hypothetical validator count,1,10,7,3,22,5,27,15,12,382343.0,334872.0,1.977996,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,6,current_six-validator_configuration; aggregate remains derived,1,10,11,3,32,7,39,23,16,586382.0,514091.0,3.015328,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,7,hypothetical validator count,1,10,13,3,37,8,45,27,18,688401.5,603700.5,3.533994,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,10,hypothetical validator count,1,10,19,3,52,11,63,39,24,994460.0,872529.0,5.089992,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,16,hypothetical validator count,1,10,31,3,82,17,99,63,36,1606577.0,1410186.0,8.201988,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,25,hypothetical validator count,1,10,49,3,127,26,153,99,54,2524752.5,2216671.5,12.869982,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,50,hypothetical validator count,1,10,99,3,252,51,303,199,104,5075240.0,4456909.0,25.836632,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,4,hypothetical validator count,10,10,7,3,22,50,72,51,21,1664608.0,1438641.0,6.579993,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,6,current_six-validator_configuration; aggregate remains derived,10,10,11,3,32,70,102,77,25,2509783.0,2169739.0,9.885325,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,7,hypothetical validator count,10,10,13,3,37,80,117,90,27,2932370.5,2535288.0,11.537991,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,10,hypothetical validator count,10,10,19,3,52,110,162,129,33,4200133.0,3631935.0,16.495989,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
DERIVED,16,hypothetical validator count,10,10,31,3,82,170,252,207,45,6735658.0,5825229.0,26.411985,,,,tx=2N-1;consensus_verify=5N+2;transaction_verify=(N+1)T;miss=3N-1+NT;hit=2N+3+T,"steady successful round, all N validators connected, no retry/rebroadcast/cache eviction; modeled time uses measured generic 512-byte Aegis ML-DSA-65 cache-miss/hit medians and is not measured consensus latency"
