classification,suite,layer,algorithm,operation,payload_profile,message_bytes,n,valid_n,valid_fraction,mean_wall_ns,median_wall_ns,stdev_wall_ns,cv_wall,min_wall_ns,p50_wall_ns,p90_wall_ns,p95_wall_ns,p99_wall_ns,max_wall_ns,median_ci95_low_ns,median_ci95_high_ns,mean_cpu_ns,total_work_units,throughput_ops_per_second,mad_outlier_count,outlier_policy,max_rss_bytes,public_key_bytes,private_key_bytes,signature_bytes_min,signature_bytes_median,signature_bytes_max,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,item_count,results
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,block4096,4096,1,1,1.0,711458.0,711458.0,0.0,0.0,711458.0,711458.0,711458.0,711458.0,711458.0,711458.0,711458.0,711458.0,713000.0,1,1405.5643481414222,0,retained_all_samples,48807936,0,0,3309,3309,3309,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,digest32,32,1,1,1.0,544125.0,544125.0,0.0,0.0,544125.0,544125.0,544125.0,544125.0,544125.0,544125.0,544125.0,544125.0,547000.0,1,1837.813002526993,0,retained_all_samples,48660480,0,0,3309,3309,3309,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,kilobyte1024,1024,1,1,1.0,276209.0,276209.0,0.0,0.0,276209.0,276209.0,276209.0,276209.0,276209.0,276209.0,276209.0,276209.0,277000.0,1,3620.4468355484432,0,retained_all_samples,48791552,0,0,3309,3309,3309,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,large16384,16384,1,1,1.0,350458.0,350458.0,0.0,0.0,350458.0,350458.0,350458.0,350458.0,350458.0,350458.0,350458.0,350458.0,348000.0,1,2853.4089676937037,0,retained_all_samples,48906240,0,0,3309,3309,3309,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,medium256,256,1,1,1.0,421583.0,421583.0,0.0,0.0,421583.0,421583.0,421583.0,421583.0,421583.0,421583.0,421583.0,421583.0,417000.0,1,2372.012154190278,0,retained_all_samples,48775168,0,0,3309,3309,3309,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,small128,128,1,1,1.0,1281875.0,1281875.0,0.0,0.0,1281875.0,1281875.0,1281875.0,1281875.0,1281875.0,1281875.0,1281875.0,1281875.0,1260000.0,1,780.1072647489029,0,retained_all_samples,48742400,0,0,3309,3309,3309,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,small64,64,1,1,1.0,147208.0,147208.0,0.0,0.0,147208.0,147208.0,147208.0,147208.0,147208.0,147208.0,147208.0,147208.0,148000.0,1,6793.10907015923,0,retained_all_samples,48742400,0,0,3309,3309,3309,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,transaction512,512,1,1,1.0,247125.0,247125.0,0.0,0.0,247125.0,247125.0,247125.0,247125.0,247125.0,247125.0,247125.0,247125.0,247000.0,1,4046.535154274153,0,retained_all_samples,48775168,0,0,3309,3309,3309,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,vote192,192,1,1,1.0,162875.0,162875.0,0.0,0.0,162875.0,162875.0,162875.0,162875.0,162875.0,162875.0,162875.0,162875.0,160000.0,1,6139.677666922486,0,retained_all_samples,48742400,0,0,3309,3309,3309,0,0,0,0,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_hit,block4096,4096,1,1,1.0,15041.0,15041.0,0.0,0.0,15041.0,15041.0,15041.0,15041.0,15041.0,15041.0,15041.0,15041.0,16000.0,1,66484.94116082707,0,retained_all_samples,48824320,0,0,3309,3309,3309,0,0,0,0,0,0,accepted_cache_hit
