run_id,environment_id,source_commit,classification,suite,layer,algorithm,operation,payload_profile,message_bytes,iteration,warmup_iterations,wall_ns,cpu_ns,max_rss_bytes,valid,result,work_units,item_count,public_key_bytes,private_key_bytes,signature_bytes,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,notes
local-1786750131493003000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,keygen,none,0,0,1,178417,181000,6406144,true,keypair_generated,1,0,1952,4032,0,0,0,0,0,0,
local-1786750131493003000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,sign,digest32,32,0,1,682542,686000,6619136,true,signature_generated,1,0,1952,4032,3309,0,0,0,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786750131493003000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,verify_valid,digest32,32,0,1,190291,191000,6635520,true,accepted,1,0,1952,4032,3309,0,0,0,0,0,
local-1786750131493003000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,ML-DSA-65,verify_tampered_signature,digest32,32,0,0,183625,184000,6635520,true,rejected,1,0,1952,0,3309,0,0,0,0,0,
local-1786750131493003000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,sign,small64,64,0,1,2022083,2017000,6668288,true,signature_generated,1,0,1952,4032,3309,0,0,0,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786750131493003000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,verify_valid,small64,64,0,1,221917,206000,6668288,true,accepted,1,0,1952,4032,3309,0,0,0,0,0,
local-1786750131493003000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,ML-DSA-65,verify_tampered_signature,small64,64,0,0,207709,195000,6668288,true,rejected,1,0,1952,0,3309,0,0,0,0,0,
local-1786750131493003000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,sign,small128,128,0,1,290292,288000,6684672,true,signature_generated,1,0,1952,4032,3309,0,0,0,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786750131493003000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,verify_valid,small128,128,0,1,186208,186000,6684672,true,accepted,1,0,1952,4032,3309,0,0,0,0,0,
local-1786750131493003000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,ML-DSA-65,verify_tampered_signature,small128,128,0,0,184959,186000,6701056,true,rejected,1,0,1952,0,3309,0,0,0,0,0,
local-1786750131493003000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,sign,vote192,192,0,1,489125,494000,6701056,true,signature_generated,1,0,1952,4032,3309,0,0,0,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786750131493003000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,verify_valid,vote192,192,0,1,186542,188000,6717440,true,accepted,1,0,1952,4032,3309,0,0,0,0,0,
local-1786750131493003000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,ML-DSA-65,verify_tampered_signature,vote192,192,0,0,185208,185000,6717440,true,rejected,1,0,1952,0,3309,0,0,0,0,0,
local-1786750131493003000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,sign,medium256,256,0,1,238917,240000,6717440,true,signature_generated,1,0,1952,4032,3309,0,0,0,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786750131493003000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,verify_valid,medium256,256,0,1,160042,162000,6717440,true,accepted,1,0,1952,4032,3309,0,0,0,0,0,
local-1786750131493003000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,ML-DSA-65,verify_tampered_signature,medium256,256,0,0,160083,160000,6717440,true,rejected,1,0,1952,0,3309,0,0,0,0,0,
local-1786750131493003000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,sign,transaction512,512,0,1,565750,548000,6717440,true,signature_generated,1,0,1952,4032,3309,0,0,0,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786750131493003000,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,verify_valid,transaction512,512,0,1,161750,162000,6717440,true,accepted,1,0,1952,4032,3309,0,0,0,0,0,
