classification,environment_id,source_commit,suite,layer,algorithm,operation,payload_profile,message_bytes,n,valid_n,valid_fraction,mean_wall_ns,median_wall_ns,stdev_wall_ns,cv_wall,min_wall_ns,p50_wall_ns,p90_wall_ns,p95_wall_ns,p99_wall_ns,max_wall_ns,median_ci95_low_ns,median_ci95_high_ns,mean_cpu_ns,experiment,environment,workload,sample_count,mean_us,median_us,stddev_us,p90_us,p95_us,p99_us,total_work_units,throughput_ops_per_second,ops_per_sec,cpu_percent,mad_outlier_count,outlier_policy,max_rss_bytes,memory_mb,network_bytes,throughput_tps,result_type,public_key_bytes,private_key_bytes,signature_bytes_min,signature_bytes_median,signature_bytes_max,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,item_count,results
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,block4096,4096,500,500,1.0,376100.472,308541.5,240834.72009253423,0.6403467637566119,148709.0,308541.5,670870.5,850725.6499999999,1283003.0899999996,1636125.0,276208.0,328479.0,375386.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,block4096,500,376.100472,308.5415,240.83472009253424,670.8705,850.7256499999999,1283.0030899999997,500,2658.863985685187,2658.863985685187,99.81003161304194,15,retained_all_samples,47349760,47.34976,,,MEASURED,,,3309,3309.0,3309,,,,,,,domain_signature_generated
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,digest32,32,500,500,1.0,355393.65,288708.0,227709.68406767398,0.6407252466882117,135375.0,288708.0,641175.0000000001,782172.2999999991,1191568.7499999995,1625125.0,274646.0,304783.5249999999,354316.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,digest32,500,355.39365000000004,288.708,227.70968406767398,641.1750000000001,782.1722999999992,1191.5687499999995,500,2813.781281685815,2813.781281685815,99.69677286017912,17,retained_all_samples,47054848,47.054848,,,MEASURED,,,3309,3309.0,3309,,,,,,,domain_signature_generated
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,kilobyte1024,1024,500,500,1.0,353054.516,289500.0,216294.50847089733,0.6126377051381416,138500.0,289500.0,659678.8,783822.95,1067469.0799999996,1310167.0,255145.5,310016.67499999993,352250.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,kilobyte1024,500,353.054516,289.5,216.29450847089734,659.6788,783.82295,1067.4690799999996,500,2832.4237608675708,2832.4237608675708,99.77212697656019,12,retained_all_samples,47316992,47.316992,,,MEASURED,,,3309,3309.0,3309,,,,,,,domain_signature_generated
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,large16384,16384,500,500,1.0,402287.516,328604.0,235725.50016597428,0.5859627524856483,189042.0,328604.0,697854.2000000002,878808.35,1372812.25,1551458.0,301292.0,345145.5,401488.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,large16384,500,402.287516,328.604,235.7255001659743,697.8542000000002,878.80835,1372.81225,500,2485.7843214801624,2485.7843214801624,99.80125756624275,26,retained_all_samples,47480832,47.480832,,,MEASURED,,,3309,3309.0,3309,,,,,,,domain_signature_generated
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,medium256,256,500,500,1.0,354373.25,285833.0,238885.32330539048,0.674106534015732,136125.0,285833.0,633062.2000000001,813727.0999999987,1264504.16,1907167.0,258228.475,301812.5,352430.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,medium256,500,354.37325,285.833,238.88532330539047,633.0622000000001,813.7270999999987,1264.50416,500,2821.8834237629394,2821.8834237629394,99.45163750367728,21,retained_all_samples,47267840,47.26784,,,MEASURED,,,3309,3309.0,3309,,,,,,,domain_signature_generated
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,small128,128,500,500,1.0,338735.664,274896.0,213940.33890593302,0.6315849248927419,135333.0,274896.0,607091.3,752762.1499999998,1111784.5899999999,1944208.0,251458.5,295381.77499999997,338228.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,small128,500,338.735664,274.896,213.94033890593303,607.0913,752.7621499999998,1111.7845899999998,500,2952.15445634328,2952.15445634328,99.8501297460075,15,retained_all_samples,47202304,47.202304,,,MEASURED,,,3309,3309.0,3309,,,,,,,domain_signature_generated
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,small64,64,500,500,1.0,361420.482,289083.5,248975.9161801019,0.6888815896717826,134542.0,289083.5,689487.8,845113.9499999988,1251000.9199999995,1590333.0,262916.0,303666.0,360456.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,small64,500,361.420482,289.0835,248.9759161801019,689.4878,845.1139499999988,1251.0009199999995,500,2766.8603463375384,2766.8603463375384,99.73314129994438,25,retained_all_samples,47185920,47.18592,,,MEASURED,,,3309,3309.0,3309,,,,,,,domain_signature_generated
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,transaction512,512,500,500,1.0,358113.528,287958.5,221745.68966530895,0.6192050071487636,136125.0,287958.5,667195.9,826595.7999999992,1138691.42,1286750.0,259770.5,315625.0,356994.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,transaction512,500,358.113528,287.9585,221.74568966530896,667.1959,826.5957999999993,1138.6914199999999,500,2792.410567634295,2792.410567634295,99.68738181820375,15,retained_all_samples,47284224,47.284224,,,MEASURED,,,3309,3309.0,3309,,,,,,,domain_signature_generated
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,sign_domain,vote192,192,500,500,1.0,384385.926,290375.0,291807.10870922764,0.759151386591682,135750.0,290375.0,718812.5,975224.6999999988,1487324.4899999995,2144292.0,272333.0,305583.0,383030.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,vote192,500,384.385926,290.375,291.80710870922763,718.8125,975.2246999999987,1487.3244899999995,500,2601.5520661908936,2601.5520661908936,99.6472487913098,33,retained_all_samples,47235072,47.235072,,,MEASURED,,,3309,3309.0,3309,,,,,,,domain_signature_generated
MEASURED,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,aegis,aegis_domain_wrapper_block,ML-DSA-65,verify_cache_hit,block4096,4096,500,500,1.0,12424.912,12000.0,2144.9138301884923,0.1726301023450703,11833.0,12000.0,13046.1,14145.84999999998,17293.25,43916.0,12000.0,12000.0,12618.0,aegis,macmini-m2-macos26.5.2-rust1.97.1-aarch64-20260814,block4096,500,12.424912,12.0,2.1449138301884925,13.046100000000001,14.14584999999998,17.29325,500,80483.4674080589,80483.4674080589,101.55403917548873,79,retained_all_samples,47366144,47.366144,,,MEASURED,,,3309,3309.0,3309,,,,,,,accepted_cache_hit
