classification,suite,layer,algorithm,operation,payload_profile,message_bytes,n,valid_n,valid_fraction,mean_wall_ns,median_wall_ns,stdev_wall_ns,cv_wall,min_wall_ns,p95_wall_ns,p99_wall_ns,max_wall_ns,median_ci95_low_ns,median_ci95_high_ns,mean_cpu_ns,throughput_ops_per_second,mad_outlier_count,outlier_policy,max_rss_bytes,public_key_bytes,private_key_bytes,signature_bytes_min,signature_bytes_median,signature_bytes_max,ciphertext_bytes,shared_secret_bytes,results
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,sign_domain,block4096,4096,1,1,1.0,6301625.0,6301625.0,0.0,0.0,6301625.0,6301625.0,6301625.0,6301625.0,6301625.0,6301625.0,6270000.0,158.68922698510306,0,retained_all_samples,48365568,0,0,1276,1276,1276,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,sign_domain,digest32,32,1,1,1.0,6244667.0,6244667.0,0.0,0.0,6244667.0,6244667.0,6244667.0,6244667.0,6244667.0,6244667.0,6228000.0,160.13664139336814,0,retained_all_samples,48365568,0,0,1272,1272,1272,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,sign_domain,large16384,16384,1,1,1.0,6312917.0,6312917.0,0.0,0.0,6312917.0,6312917.0,6312917.0,6312917.0,6312917.0,6312917.0,6290000.0,158.40537741902833,0,retained_all_samples,48365568,0,0,1272,1272,1272,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,sign_domain,medium256,256,1,1,1.0,6295625.0,6295625.0,0.0,0.0,6295625.0,6295625.0,6295625.0,6295625.0,6295625.0,6295625.0,6266000.0,158.84046460835899,0,retained_all_samples,48365568,0,0,1268,1268,1268,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,sign_domain,small64,64,1,1,1.0,6261042.0,6261042.0,0.0,0.0,6261042.0,6261042.0,6261042.0,6261042.0,6261042.0,6261042.0,6242000.0,159.71782332717143,0,retained_all_samples,48365568,0,0,1275,1275,1275,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,sign_domain,transaction512,512,1,1,1.0,6371292.0,6371292.0,0.0,0.0,6371292.0,6371292.0,6371292.0,6371292.0,6371292.0,6371292.0,6335000.0,156.95403695200284,0,retained_all_samples,48365568,0,0,1268,1268,1268,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,sign_domain,vote192,192,1,1,1.0,6166917.0,6166917.0,0.0,0.0,6166917.0,6166917.0,6166917.0,6166917.0,6166917.0,6166917.0,6165000.0,162.15557952215022,0,retained_all_samples,48365568,0,0,1273,1273,1273,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,verify_cache_hit,block4096,4096,1,1,1.0,14250.0,14250.0,0.0,0.0,14250.0,14250.0,14250.0,14250.0,14250.0,14250.0,14000.0,70175.43859649122,0,retained_all_samples,48365568,0,0,1270,1270,1270,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,verify_cache_hit,digest32,32,1,1,1.0,7542.0,7542.0,0.0,0.0,7542.0,7542.0,7542.0,7542.0,7542.0,7542.0,8000.0,132590.82471492974,0,retained_all_samples,48365568,0,0,1270,1270,1270,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,verify_cache_hit,large16384,16384,1,1,1.0,34333.0,34333.0,0.0,0.0,34333.0,34333.0,34333.0,34333.0,34333.0,34333.0,35000.0,29126.4963737512,0,retained_all_samples,48365568,0,0,1267,1267,1267,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,verify_cache_hit,medium256,256,1,1,1.0,7833.0,7833.0,0.0,0.0,7833.0,7833.0,7833.0,7833.0,7833.0,7833.0,8000.0,127665.00702157538,0,retained_all_samples,48365568,0,0,1269,1269,1269,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,verify_cache_hit,small64,64,1,1,1.0,7250.0,7250.0,0.0,0.0,7250.0,7250.0,7250.0,7250.0,7250.0,7250.0,8000.0,137931.0344827586,0,retained_all_samples,48365568,0,0,1276,1276,1276,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,verify_cache_hit,transaction512,512,1,1,1.0,7375.0,7375.0,0.0,0.0,7375.0,7375.0,7375.0,7375.0,7375.0,7375.0,8000.0,135593.22033898305,0,retained_all_samples,48365568,0,0,1272,1272,1272,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,verify_cache_hit,vote192,192,1,1,1.0,7625.0,7625.0,0.0,0.0,7625.0,7625.0,7625.0,7625.0,7625.0,7625.0,8000.0,131147.54098360657,0,retained_all_samples,48365568,0,0,1264,1264,1264,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,verify_cache_miss,block4096,4096,1,1,1.0,112375.0,112375.0,0.0,0.0,112375.0,112375.0,112375.0,112375.0,112375.0,112375.0,117000.0,8898.77641824249,0,retained_all_samples,48365568,0,0,1269,1269,1269,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,verify_cache_miss,digest32,32,1,1,1.0,93583.0,93583.0,0.0,0.0,93583.0,93583.0,93583.0,93583.0,93583.0,93583.0,99000.0,10685.70146287253,0,retained_all_samples,48365568,0,0,1273,1273,1273,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,verify_cache_miss,large16384,16384,1,1,1.0,174667.0,174667.0,0.0,0.0,174667.0,174667.0,174667.0,174667.0,174667.0,174667.0,179000.0,5725.17991377879,0,retained_all_samples,48365568,0,0,1269,1269,1269,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,verify_cache_miss,medium256,256,1,1,1.0,93333.0,93333.0,0.0,0.0,93333.0,93333.0,93333.0,93333.0,93333.0,93333.0,100000.0,10714.323979728499,0,retained_all_samples,48365568,0,0,1271,1271,1271,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,verify_cache_miss,small64,64,1,1,1.0,89916.0,89916.0,0.0,0.0,89916.0,89916.0,89916.0,89916.0,89916.0,89916.0,96000.0,11121.491169536012,0,retained_all_samples,48365568,0,0,1274,1274,1274,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,verify_cache_miss,transaction512,512,1,1,1.0,93417.0,93417.0,0.0,0.0,93417.0,93417.0,93417.0,93417.0,93417.0,93417.0,98000.0,10704.689724568334,0,retained_all_samples,48365568,0,0,1274,1274,1274,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,FN-DSA-1024,verify_cache_miss,vote192,192,1,1,1.0,88666.0,88666.0,0.0,0.0,88666.0,88666.0,88666.0,88666.0,88666.0,88666.0,95000.0,11278.280287821714,0,retained_all_samples,48365568,0,0,1269,1269,1269,0,0,accepted_cache_miss
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,sign_domain,block4096,4096,2,2,1.0,208562.0,208562.0,5096.825678792635,0.024437940175068493,204958.0,211805.6,212093.92,212166.0,204958.0,212166.0,206500.0,4794.737296343534,0,retained_all_samples,48070656,0,0,3309,3309.0,3309,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,sign_domain,digest32,32,2,2,1.0,158791.5,158791.5,2710.340292288037,0.01706854770115552,156875.0,160516.35,160669.67,160708.0,156875.0,160708.0,160500.0,6297.566305501239,0,retained_all_samples,48054272,0,0,3309,3309.0,3309,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,sign_domain,large16384,16384,2,2,1.0,298187.5,298187.5,57540.8143190553,0.192968566150678,257500.0,334806.25,338061.25,338875.0,257500.0,338875.0,298500.0,3353.5946342485854,0,retained_all_samples,48070656,0,0,3309,3309.0,3309,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,sign_domain,medium256,256,2,2,1.0,700500.0,700500.0,627203.7149124676,0.8953657600463493,257000.0,1099650.0,1135130.0,1144000.0,257000.0,1144000.0,701500.0,1427.5517487508923,0,retained_all_samples,48054272,0,0,3309,3309.0,3309,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,sign_domain,small64,64,2,2,1.0,728166.5,728166.5,9191.681048643932,0.012623048504214258,721667.0,734016.05,734536.01,734666.0,721667.0,734666.0,729000.0,1373.3122850337113,0,retained_all_samples,48054272,0,0,3309,3309.0,3309,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,sign_domain,transaction512,512,2,2,1.0,296208.5,296208.5,59338.27975683151,0.2003260532929727,254250.0,333971.15,337327.83,338167.0,254250.0,338167.0,296500.0,3376.0003511040363,0,retained_all_samples,48054272,0,0,3309,3309.0,3309,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,sign_domain,vote192,192,2,2,1.0,336438.0,336438.0,184761.34506979538,0.5491690744499592,205792.0,454019.4,464471.07999999996,467084.0,205792.0,467084.0,336500.0,2972.3158501715025,0,retained_all_samples,48054272,0,0,3309,3309.0,3309,0,0,domain_signature_generated
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_hit,block4096,4096,2,2,1.0,16937.5,16937.5,972.2718241315029,0.057403502531749244,16250.0,17556.25,17611.25,17625.0,16250.0,17625.0,17000.0,59040.59040590406,0,retained_all_samples,48070656,0,0,3309,3309.0,3309,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_hit,digest32,32,2,2,1.0,12396.0,12396.0,264.45793616376875,0.02133413489543149,12209.0,12564.3,12579.26,12583.0,12209.0,12583.0,11500.0,80671.18425298484,0,retained_all_samples,48054272,0,0,3309,3309.0,3309,0,0,accepted_cache_hit
MEASURED,aegis,aegis_domain_wrapper,ML-DSA-65,verify_cache_hit,large16384,16384,2,2,1.0,37874.5,37874.5,1885.8537854245224,0.049792176409576956,36541.0,39074.65,39181.33,39208.0,36541.0,39208.0,38000.0,26402.988818334234,0,retained_all_samples,48070656,0,0,3309,3309.0,3309,0,0,accepted_cache_hit
