run_id,environment_id,source_commit,classification,suite,layer,algorithm,operation,payload_profile,message_bytes,iteration,warmup_iterations,wall_ns,cpu_ns,max_rss_bytes,valid,result,work_units,item_count,public_key_bytes,private_key_bytes,signature_bytes,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,notes
local-1786750005317650000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency1,512,0,1,221709,233000,7323648,true,accepted=1;saturated=0;unexpected=0,1,1,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786750005317650000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency1,512,1,1,189167,204000,7503872,true,accepted=1;saturated=0;unexpected=0,1,1,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786750005317650000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency2,512,0,1,207709,365000,7798784,true,accepted=2;saturated=0;unexpected=0,2,2,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786750005317650000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency2,512,1,1,178583,337000,7847936,true,accepted=2;saturated=0;unexpected=0,2,2,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786750005317650000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency4,512,0,1,333041,912000,7979008,true,accepted=4;saturated=0;unexpected=0,4,4,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786750005317650000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency4,512,1,1,238334,695000,8028160,true,accepted=4;saturated=0;unexpected=0,4,4,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786750005317650000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency8,512,0,1,451667,1765000,8224768,true,accepted=8;saturated=0;unexpected=0,8,8,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786750005317650000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency8,512,1,1,372167,1393000,8241152,true,accepted=8;saturated=0;unexpected=0,8,8,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786750005317650000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency16,512,0,1,820708,3246000,8585216,true,accepted=16;saturated=0;unexpected=0,16,16,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786750005317650000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency16,512,1,1,861709,3251000,8601600,true,accepted=16;saturated=0;unexpected=0,16,16,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786750005317650000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency64,512,0,1,3096000,12655000,10469376,true,accepted=64;saturated=0;unexpected=0,64,64,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
local-1786750005317650000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,load,aegis_bounded_verification_pool,ML-DSA-65,concurrent_verify_burst,workers4_concurrency64,512,1,1,2862291,12239000,10518528,true,accepted=64;saturated=0;unexpected=0,64,64,0,0,3309,0,0,0,0,0,"controlled local burst; wall time includes scoped-thread creation, Aegis policy/transcript processing, bounded-pool admission, primitive verification, and joins; work_units counts accepted verifications only"
