run_id,environment_id,source_commit,classification,suite,layer,algorithm,operation,payload_profile,message_bytes,iteration,warmup_iterations,wall_ns,cpu_ns,max_rss_bytes,valid,result,public_key_bytes,private_key_bytes,signature_bytes,ciphertext_bytes,shared_secret_bytes,notes
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,keygen,none,0,0,1,114125,117000,6340608,true,keypair_generated,1952,4032,0,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,sign,digest32,32,0,1,227458,229000,6504448,true,signature_generated,1952,4032,3309,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,verify_valid,digest32,32,0,1,91791,92000,6504448,true,accepted,1952,4032,3309,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,ML-DSA-65,verify_tampered_signature,digest32,32,0,0,91583,92000,6504448,true,rejected,1952,0,3309,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,sign,small64,64,0,1,335083,337000,6504448,true,signature_generated,1952,4032,3309,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,verify_valid,small64,64,0,1,218917,223000,6504448,true,accepted,1952,4032,3309,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,ML-DSA-65,verify_tampered_signature,small64,64,0,0,216958,218000,6504448,true,rejected,1952,0,3309,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,sign,vote192,192,0,1,692791,694000,6537216,true,signature_generated,1952,4032,3309,0,0,"PQCManager includes key parsing, timestamping, allocation, and signature-registry insertion"
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,primitive,runtime_pqc_manager,ML-DSA-65,verify_valid,vote192,192,0,1,183500,185000,6553600,true,accepted,1952,4032,3309,0,0,
local-1786748164582988000,macmini-m2-20260814,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,negative,runtime_pqc_manager,ML-DSA-65,verify_tampered_signature,vote192,192,0,0,162000,162000,6553600,true,rejected,1952,0,3309,0,0,
