run_id,environment_id,source_commit,classification,suite,layer,algorithm,operation,payload_profile,message_bytes,iteration,warmup_iterations,wall_ns,cpu_ns,max_rss_bytes,valid,result,work_units,public_key_bytes,private_key_bytes,signature_bytes,ciphertext_bytes,shared_secret_bytes,serialized_bytes,notes
local-1786749435353649000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,digest32,32,0,1,652916,648000,6832128,true,signed_serialized_admission_valid,1,2592,4896,4627,0,0,26064,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749435353649000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,digest32,32,0,1,229417,231000,6914048,true,accepted,1,2592,0,4627,0,0,26178,
local-1786749435353649000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,small64,64,0,1,861708,836000,6930432,true,signed_serialized_admission_valid,1,2592,4896,4627,0,0,26096,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749435353649000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,small64,64,0,1,306417,304000,6930432,true,accepted,1,2592,0,4627,0,0,26105,
local-1786749435353649000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,small128,128,0,1,603208,603000,6946816,true,signed_serialized_admission_valid,1,2592,4896,4627,0,0,26151,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749435353649000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,small128,128,0,1,211000,212000,6946816,true,accepted,1,2592,0,4627,0,0,26199,
local-1786749435353649000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,vote192,192,0,1,435208,436000,6946816,true,signed_serialized_admission_valid,1,2592,4896,4627,0,0,26206,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749435353649000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,vote192,192,0,1,227500,227000,6995968,true,accepted,1,2592,0,4627,0,0,26278,
local-1786749435353649000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,medium256,256,0,1,1171000,1052000,7028736,true,signed_serialized_admission_valid,1,2592,4896,4627,0,0,26389,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749435353649000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,medium256,256,0,1,234208,234000,7061504,true,accepted,1,2592,0,4627,0,0,26266,
local-1786749435353649000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,transaction512,512,0,1,480541,463000,7077888,true,signed_serialized_admission_valid,1,2592,4896,4627,0,0,26525,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749435353649000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,transaction512,512,0,1,212125,212000,7077888,true,accepted,1,2592,0,4627,0,0,26629,
local-1786749435353649000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,kilobyte1024,1024,0,1,1324917,1234000,7094272,true,signed_serialized_admission_valid,1,2592,4896,4627,0,0,27104,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749435353649000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,kilobyte1024,1024,0,1,261166,238000,7127040,true,accepted,1,2592,0,4627,0,0,27197,
local-1786749435353649000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,block4096,4096,0,1,606375,582000,7127040,true,signed_serialized_admission_valid,1,2592,4896,4627,0,0,30087,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749435353649000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,block4096,4096,0,1,310333,278000,7159808,true,accepted,1,2592,0,4627,0,0,30187,
local-1786749435353649000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,large16384,16384,0,1,918500,880000,7274496,true,signed_serialized_admission_valid,1,2592,4896,4627,0,0,42435,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749435353649000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,large16384,16384,0,1,315000,303000,7307264,true,accepted,1,2592,0,4627,0,0,42465,
