run_id,environment_id,source_commit,classification,suite,layer,algorithm,operation,payload_profile,message_bytes,iteration,warmup_iterations,wall_ns,cpu_ns,max_rss_bytes,valid,result,work_units,item_count,public_key_bytes,private_key_bytes,signature_bytes,ciphertext_bytes,shared_secret_bytes,unsigned_serialized_bytes,serialized_bytes,authentication_bytes,notes
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,digest32,32,0,1,1557375,1562000,6995968,true,signed_serialized_admission_valid,1,1,2592,4896,4627,0,0,350,26105,25755,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,digest32,32,0,1,656917,658000,7094272,true,accepted,1,1,2592,0,4627,0,0,350,26077,25727,
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,small64,64,0,1,1118250,1119000,7094272,true,signed_serialized_admission_valid,1,1,2592,4896,4627,0,0,382,26156,25774,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,small64,64,0,1,636250,640000,7159808,true,accepted,1,1,2592,0,4627,0,0,382,26155,25773,
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,small128,128,0,1,2344125,2345000,7159808,true,signed_serialized_admission_valid,1,1,2592,4896,4627,0,0,446,26157,25711,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,small128,128,0,1,528084,528000,7225344,true,accepted,1,1,2592,0,4627,0,0,446,26252,25806,
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,vote192,192,0,1,1396917,1354000,7225344,true,signed_serialized_admission_valid,1,1,2592,4896,4627,0,0,510,26292,25782,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,vote192,192,0,1,544250,546000,7241728,true,accepted,1,1,2592,0,4627,0,0,510,26279,25769,
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,medium256,256,0,1,929625,930000,7241728,true,signed_serialized_admission_valid,1,1,2592,4896,4627,0,0,574,26327,25753,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,medium256,256,0,1,534625,535000,7241728,true,accepted,1,1,2592,0,4627,0,0,574,26291,25717,
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,transaction512,512,0,1,1926625,1874000,7258112,true,signed_serialized_admission_valid,1,1,2592,4896,4627,0,0,830,26578,25748,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,transaction512,512,0,1,461208,463000,7258112,true,accepted,1,1,2592,0,4627,0,0,830,26555,25725,
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,kilobyte1024,1024,0,1,985333,986000,7274496,true,signed_serialized_admission_valid,1,1,2592,4896,4627,0,0,1342,27093,25751,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,kilobyte1024,1024,0,1,453750,454000,7307264,true,accepted,1,1,2592,0,4627,0,0,1342,27102,25760,
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,block4096,4096,0,1,1757291,1758000,7323648,true,signed_serialized_admission_valid,1,1,2592,4896,4627,0,0,4414,30213,25799,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,block4096,4096,0,1,472958,472000,7389184,true,accepted,1,1,2592,0,4627,0,0,4414,30182,25768,
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,build_hash_sign_serialize,large16384,16384,0,1,1625250,1583000,7569408,true,signed_serialized_admission_valid,1,1,2592,4896,4627,0,0,16702,42453,25751,"includes raw BLAKE3 transaction hash, PQCManager signing, embedded public key, JSON, and admission verification"
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,public_rpc_transaction,ML-DSA-87,validate_for_admission,large16384,16384,0,1,450667,450000,7618560,true,accepted,1,1,2592,0,4627,0,0,16702,42480,25778,
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_typed_transaction,ML-DSA-65,build_sign_verify_admit_carrier,digest32,32,0,1,4760083,4782000,8863744,true,signed_verified_admitted_carrier_built,1,1,1952,0,3309,0,0,605,64938,19063,envelope_json_bytes=19668; carrier_json_bytes=45270; authentication_bytes compares the submitted envelope with the canonical unsigned signing payload and does not include the duplicated legacy carrier
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_typed_transaction,ML-DSA-65,verify_submission_envelope,digest32,32,0,1,206625,218000,8912896,true,accepted,1,1,1952,0,3309,0,0,605,19786,19181,constructs a fresh Aegis verifier for the envelope public key and lifecycle witness
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_legacy_carrier,ML-DSA-65,validate_carrier,digest32,32,0,1,403959,408000,8962048,true,accepted,1,1,1952,0,3309,0,0,0,45548,0,
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_typed_transaction,ML-DSA-65,build_sign_verify_admit_carrier,small64,64,0,1,1943375,1949000,8978432,true,signed_verified_admitted_carrier_built,1,1,1952,0,3309,0,0,698,65351,19121,envelope_json_bytes=19819; carrier_json_bytes=45532; authentication_bytes compares the submitted envelope with the canonical unsigned signing payload and does not include the duplicated legacy carrier
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_typed_transaction,ML-DSA-65,verify_submission_envelope,small64,64,0,1,196083,203000,9027584,true,accepted,1,1,1952,0,3309,0,0,698,19888,19190,constructs a fresh Aegis verifier for the envelope public key and lifecycle witness
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_legacy_carrier,ML-DSA-65,validate_carrier,small64,64,0,1,345625,350000,9027584,true,accepted,1,1,1952,0,3309,0,0,0,45693,0,
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_typed_transaction,ML-DSA-65,build_sign_verify_admit_carrier,small128,128,0,1,1668750,1605000,9060352,true,signed_verified_admitted_carrier_built,1,1,1952,0,3309,0,0,891,65678,19084,envelope_json_bytes=19975; carrier_json_bytes=45703; authentication_bytes compares the submitted envelope with the canonical unsigned signing payload and does not include the duplicated legacy carrier
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_typed_transaction,ML-DSA-65,verify_submission_envelope,small128,128,0,1,179667,183000,9060352,true,accepted,1,1,1952,0,3309,0,0,891,19975,19084,constructs a fresh Aegis verifier for the envelope public key and lifecycle witness
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_legacy_carrier,ML-DSA-65,validate_carrier,small128,128,0,1,336000,339000,9060352,true,accepted,1,1,1952,0,3309,0,0,0,45703,0,
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_typed_transaction,ML-DSA-65,build_sign_verify_admit_carrier,vote192,192,0,1,1158834,1164000,9093120,true,signed_verified_admitted_carrier_built,1,1,1952,0,3309,0,0,1143,66580,19179,envelope_json_bytes=20322; carrier_json_bytes=46258; authentication_bytes compares the submitted envelope with the canonical unsigned signing payload and does not include the duplicated legacy carrier
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_typed_transaction,ML-DSA-65,verify_submission_envelope,vote192,192,0,1,183125,187000,9093120,true,accepted,1,1,1952,0,3309,0,0,1143,20228,19085,constructs a fresh Aegis verifier for the envelope public key and lifecycle witness
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_legacy_carrier,ML-DSA-65,validate_carrier,vote192,192,0,1,349709,348000,9093120,true,accepted,1,1,1952,0,3309,0,0,0,46040,0,
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_typed_transaction,ML-DSA-65,build_sign_verify_admit_carrier,medium256,256,0,1,2293292,2247000,9109504,true,signed_verified_admitted_carrier_built,1,1,1952,0,3309,0,0,1401,66990,19121,envelope_json_bytes=20522; carrier_json_bytes=46468; authentication_bytes compares the submitted envelope with the canonical unsigned signing payload and does not include the duplicated legacy carrier
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_typed_transaction,ML-DSA-65,verify_submission_envelope,medium256,256,0,1,176375,179000,9158656,true,accepted,1,1,1952,0,3309,0,0,1401,20455,19054,constructs a fresh Aegis verifier for the envelope public key and lifecycle witness
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_legacy_carrier,ML-DSA-65,validate_carrier,medium256,256,0,1,323833,327000,9158656,true,accepted,1,1,1952,0,3309,0,0,0,46313,0,
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_typed_transaction,ML-DSA-65,build_sign_verify_admit_carrier,transaction512,512,0,1,1500000,1505000,9224192,true,signed_verified_admitted_carrier_built,1,1,1952,0,3309,0,0,2313,68998,19085,envelope_json_bytes=21398; carrier_json_bytes=47600; authentication_bytes compares the submitted envelope with the canonical unsigned signing payload and does not include the duplicated legacy carrier
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_typed_transaction,ML-DSA-65,verify_submission_envelope,transaction512,512,0,1,191916,197000,9240576,true,accepted,1,1,1952,0,3309,0,0,2313,21480,19167,constructs a fresh Aegis verifier for the envelope public key and lifecycle witness
local-1786749895692423000,macmini-m2-diagnostic,9d3ab807a08ef4cf1077dbc23213e2314ce37c87,MEASURED,protocol,aegis_legacy_carrier,ML-DSA-65,validate_carrier,transaction512,512,0,1,329875,333000,9273344,true,accepted,1,1,1952,0,3309,0,0,0,47790,0,
